@relation TermComponent

@attribute term {6, 9, 14, 19, 32, 40, 55, 57, 58, 61, 71, 73, 74, 86, 92, 98, 117, 118, 146, 209, 216, 260, 263, 272, 307, 330, 338, 390, 395, 396, 428, 450, 455, 457, 463, 470, 473, 474, 482, 495, 507, 512, 517, 534, 620, 785, 800, 802, 803, 805, 846, 852, 854, 949, 1094, 1163, 1170, 1198, 1208, 1209, 1210, 1213, 1221, 1226, 1239, 1253, 1262, 1350, 1372, 1415, 1471, 1482, 1523, 1531, 1713, 1716, 1722, 1724, 1734, 1742, 1753, 1767, 1768, 1769, 1770, 1771, 1776, 1777, 1778, 1782, 1787, 1793, 1804, 1810, 1834, 1835, 1977, 2022, 2123, 2312, 2497, 2620, 2648, 2650, 2658, 2666, 2670, 2686, 2687, 2694, 2919, 2932, 2933, 2935, 2937, 2938, 2947, 2950, 2951, 2954, 2955, 2956, 2963, 2964, 2993, 2994, 3012, 3024, 3028, 3037, 3038, 3081, 3225, 3226, 3234, 3237, 3238, 3250, 3253, 3272, 3273, 3274, 3275, 3321, 3532, 3533, 3534, 3538, 3550, 3794, 4172, 4175, 4256, 4411, 4413, 4415, 4416, 4428, 4555, 4810, 4856, 4857, 4873, 4893, 4894, 4897, 4900, 4901, 4910, 4914, 4928, 4930, 4932, 4940, 5190, 5191, 5626, 5628, 5632, 5633, 6608, 6610, 6759, 6761, 6770, 6781}
@attribute class {1,2,3,4,5,13,14,15,16,17,25,26,27,28,40,46,47,48,54,55,56,64,65,66,75,76,77,80,81,82,83,84,85,92,93,94,102,103,104,114,115,116,121,122,123,124,125,129,130,138,139,140,141,142,143,148,149,160,161,162,174,175,182,183,184,185,186,187,188,189,196,197,198,199,200,211,212,223,224,225,228,229,230,235,236,239,241,249,250,254,255,259,260,272,273,274,275,276,290,291,292,299,305,306,318,319,320,321,322,323,324,327,328,329,337,338,343,344,348,355,356,357,358,359,360,369,370,371,379,380,387,388,389,395,396,397,398,405,406,407,408,409,413,414,417,418,419,424,425,426,427,428,429,434,436,437,438,439,440,450,451,452,454,455,465,466,467,468,469,470,471,477,478,487,488,490,496,497,498,514,515,516,517,518,525,526,530,531,539,540,541,542,543,552,553,554,555,562,563,575,577,578,583,584,585,588,589,590,591,595,596,603,604,605,606,607,614,615,627,628,629,630,634,635,639,640,641,645,646,650,657,659,660,661,662,668,672,682,683,684,691,692,693,694,695,696,697,698,699,703,704,705,706,707,713,714,718,719,720,721,722,723,724,729,730,731,745,746,750,751,752,756,757,766,767,768,769,779,780,781,786,787,788,791,792,793,794,796,797,799,800,801,802,804,805,817,818,819,820,821,822,823,826,827,828,829,830,837,838,839,840,841,844,846,847,848,849,851,852,860,863,865,866,867,868,873,874,875,876,880,891,892,893,894,899,903,909,910,911,914,917,918,919,920,921,925}

@data
73, 80
98, 80
117, 80
146, 80
216, 80
338, 80
482, 80
517, 80
620, 80
800, 80
802, 80
803, 80
805, 80
846, 80
852, 80
854, 80
73, 81
98, 81
117, 81
146, 81
216, 81
338, 81
482, 81
517, 81
620, 81
800, 81
802, 81
803, 81
805, 81
846, 81
852, 81
854, 81
73, 82
98, 82
117, 82
146, 82
216, 82
338, 82
482, 82
517, 82
620, 82
800, 82
802, 82
803, 82
805, 82
846, 82
852, 82
854, 82
73, 83
98, 83
117, 83
146, 83
216, 83
338, 83
482, 83
517, 83
620, 83
800, 83
802, 83
803, 83
805, 83
846, 83
852, 83
854, 83
73, 84
98, 84
117, 84
146, 84
216, 84
338, 84
482, 84
517, 84
620, 84
800, 84
802, 84
803, 84
805, 84
846, 84
852, 84
854, 84
73, 85
98, 85
117, 85
146, 85
216, 85
338, 85
482, 85
517, 85
620, 85
800, 85
802, 85
803, 85
805, 85
846, 85
852, 85
854, 85
6, 47
9, 47
57, 47
61, 47
73, 47
98, 47
146, 47
216, 47
307, 47
450, 47
463, 47
495, 47
949, 47
1094, 47
1253, 47
1415, 47
1713, 47
1716, 47
1722, 47
1724, 47
1734, 47
1742, 47
1753, 47
6, 223
9, 223
57, 223
61, 223
73, 223
98, 223
146, 223
216, 223
307, 223
450, 223
463, 223
495, 223
949, 223
1094, 223
1253, 223
1415, 223
1713, 223
1716, 223
1722, 223
1724, 223
1734, 223
1742, 223
1753, 223
6, 224
9, 224
57, 224
61, 224
73, 224
98, 224
146, 224
216, 224
307, 224
450, 224
463, 224
495, 224
949, 224
1094, 224
1253, 224
1415, 224
1713, 224
1716, 224
1722, 224
1724, 224
1734, 224
1742, 224
1753, 224
6, 225
9, 225
57, 225
61, 225
73, 225
98, 225
146, 225
216, 225
307, 225
450, 225
463, 225
495, 225
949, 225
1094, 225
1253, 225
1415, 225
1713, 225
1716, 225
1722, 225
1724, 225
1734, 225
1742, 225
1753, 225
6, 228
19, 228
32, 228
58, 228
71, 228
73, 228
74, 228
86, 228
98, 228
146, 228
216, 228
260, 228
395, 228
495, 228
507, 228
620, 228
1213, 228
1734, 228
1767, 228
1768, 228
1769, 228
1770, 228
1771, 228
1776, 228
1777, 228
1778, 228
1782, 228
1787, 228
1793, 228
1804, 228
1810, 228
1834, 228
1835, 228
6, 229
19, 229
32, 229
58, 229
71, 229
73, 229
74, 229
86, 229
98, 229
146, 229
216, 229
260, 229
395, 229
495, 229
507, 229
620, 229
1213, 229
1734, 229
1767, 229
1768, 229
1769, 229
1770, 229
1771, 229
1776, 229
1777, 229
1778, 229
1782, 229
1787, 229
1793, 229
1804, 229
1810, 229
1834, 229
1835, 229
6, 230
19, 230
32, 230
58, 230
71, 230
73, 230
74, 230
86, 230
98, 230
146, 230
216, 230
260, 230
